"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2017-Q3","Sep-2017",13.2,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2017-Q4","Dec-2017",10.2,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2018-Q1","Mar-2018",6.2,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2018-Q2","Jun-2018",2.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2018-Q3","Sep-2018",-1.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2018-Q4","Dec-2018",-6.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2019-Q1","Mar-2019",-9.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2019-Q2","Jun-2019",-9.3,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2017-Q3","Sep-2017",-8.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2017-Q4","Dec-2017",-9.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2018-Q1","Mar-2018",-10.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2018-Q2","Jun-2018",-10.3,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2018-Q3","Sep-2018",-10.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2018-Q4","Dec-2018",-9.6,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q1","Mar-2019",-7.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","7GDAR","Greater Darwin","Q","Quarterly","2019-Q2","Jun-2019",-8.8,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2017-Q3","Sep-2017",-1.4,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2017-Q4","Dec-2017",-0.1,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2018-Q1","Mar-2018",-1.2,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2018-Q2","Jun-2018",-1.2,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2018-Q3","Sep-2018",-1.9,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2018-Q4","Dec-2018",-3.7,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2019-Q1","Mar-2019",-3.9,,
"2","Percentage change from previous quarter","3","Residential property","1GSYD","Greater Sydney","Q","Quarterly","2019-Q2","Jun-2019",-0.5,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",0.6,,
